ownership_id,driver_id,vehicle_id,start_date,end_date
bd5593ce-c5f6-4b3e-aecb-34afed84f422,b9d51207-57bc-4181-b8f7-b7ded1c460b2,d38e2c99-19f7-4d48-bd87-e7dad9fd7301,2023-12-27,
09e33516-844f-49af-b67e-4baa53defe6d,01aeefbe-7d4a-4cd4-bdb3-ebf1fcaa7bcd,c8747a39-13c1-4170-97f0-10d45d583341,2024-05-29,
ccc04617-63b0-456a-bc09-feb13dcec1c6,76387bad-0366-4ef5-8667-23c6221bd528,51682774-06d9-45ca-8fc7-a0454993f480,2023-09-21,
acd3d7de-62e8-41ae-a376-8f318abc68d0,01aeefbe-7d4a-4cd4-bdb3-ebf1fcaa7bcd,15d0316b-2f95-4773-bc14-bf30bc4d4d14,2023-08-28,
795cb6fd-cc59-4d18-8952-2b649765da02,3e8227a0-a6f4-4ead-b673-2bd2a4dbf274,15d0316b-2f95-4773-bc14-bf30bc4d4d14,2024-08-16,
5f488001-31f8-4381-bd03-2ec7c453d651,8659f867-b468-41b1-b56c-753be71e2628,51682774-06d9-45ca-8fc7-a0454993f480,2024-07-20,
422eecd1-ab4a-4228-a5f1-f722d48b4420,ba6cb6b6-e02b-4c95-abe0-1c8df934be55,15e795a2-1774-4614-a8fc-6be0757daee0,2023-10-19,
0392659a-676a-48bb-adbb-3e1fc840b17e,8659f867-b468-41b1-b56c-753be71e2628,15d0316b-2f95-4773-bc14-bf30bc4d4d14,2024-05-01,
53986918-b8c3-4e06-bfc5-eb35ed7ef81f,41538b47-c1d7-4a94-a834-c989d426714c,15e795a2-1774-4614-a8fc-6be0757daee0,2023-06-22,
4d471314-7461-487c-ab64-8b8da859a761,76387bad-0366-4ef5-8667-23c6221bd528,78d4a862-f721-4e1c-9089-d5edf4ab3673,2024-09-01,
587024cb-c22a-4cef-b206-d754003b1a82,ba6cb6b6-e02b-4c95-abe0-1c8df934be55,c8747a39-13c1-4170-97f0-10d45d583341,2022-09-24,
cdc1abc6-2003-42b9-befb-b66da60b61b1,f6805fd7-bf74-44bb-9128-e2dfd86cb7d2,c8747a39-13c1-4170-97f0-10d45d583341,2023-10-31,
11d35124-3d15-496d-8137-5bda6b3807ed,6be3a185-d691-48c7-bb42-a04f0baa5ad1,51682774-06d9-45ca-8fc7-a0454993f480,2022-11-12,
99bd0147-1687-438d-8f31-47a35f49d1f2,a4d9a893-676c-4e90-8438-196447d98d29,f430e23c-ede1-444f-a68e-80248182ce9e,2024-08-17,
99e6ef91-3ac7-4e30-9e17-9c3705996a09,3e8227a0-a6f4-4ead-b673-2bd2a4dbf274,9884d7a2-878c-4b9e-904a-05cd49332d64,2024-07-30,2025-05-19
