avg_speed,max_speed,braking_events,cornering_events,trip_duration,trip_risk_label
41.62718429716905,67.13831363312029,3,0,19.425668524915046,0
40.71669583803116,84.7907897340576,2,0,33.05571827324771,0
57.522721502514486,119.59873131638793,9,2,35.19429930385709,1
54.52447678331054,100.08301989780854,3,4,22.980269695227427,1
31.301431106109504,66.37559058596868,3,1,24.401650526869282,0
38.82796099841839,62.16234334413603,1,0,26.547294738418703,0
58.971629653984344,110.22487316765377,6,7,19.492353401725303,1
56.093809260387644,129.4999023910686,5,1,24.446528606948107,1
64.73691120227934,109.39996343890289,2,3,30.03719648337424,1
60.89439326562711,135.10735800895003,3,4,28.625963434740164,1
29.59035296058139,86.96456368290038,3,3,28.18193893893072,0
44.86481766877894,77.95595463895941,3,1,22.906247707042986,0
49.24304416648206,68.24436054500785,0,0,33.34327402378953,0
63.467725200445116,89.91635740620389,6,7,24.421851972540967,1
38.93919289144187,65.73131205960277,2,3,30.4853877467402,0
34.233247447020204,81.37314542364729,0,1,38.66024645684041,0
44.26987355533928,67.28959537711458,5,0,26.93452658545811,0
42.86028720857072,69.37808983000689,2,2,29.88223924562881,0
35.581111055678655,75.73966959201675,4,0,21.232131410456567,0
55.46108955514315,129.55005230543748,13,7,25.990724925047896,1
33.56418215707875,56.02881814887009,2,0,22.403269622615788,0
66.2589821623373,118.77433961787632,6,6,18.07883877106127,1
35.85751487609877,68.96745239850952,2,6,21.784055944229163,0
45.695476039695734,133.97901813474465,8,6,32.67656588136267,1
76.21441895149525,150.8987686262171,4,10,21.209978484480175,1
40.630889518309836,67.77525103221734,2,1,40.23431097859779,0
34.354741143913856,64.75479733720226,2,0,32.44687280613959,0
52.944827027654924,122.80289553348102,6,6,29.123827251408592,1
51.45886589333939,105.33326632980382,6,5,12.993740205076056,1
38.594498535570224,87.97686526849523,2,0,33.20421430633505,0
34.867423502944696,71.32969674146877,2,4,26.499395925304135,0
43.8983026613467,83.10308746119608,1,1,36.97841905394978,0
61.94507724110791,112.94694991822033,6,4,21.033064243614632,1
59.543509668550755,122.12393680109824,8,5,28.32681023302118,1
42.569539248294575,71.79581781939598,4,2,29.33683126808713,0
69.54482938665814,117.89575449963948,4,3,21.323890285112178,1
68.62500316635817,118.70674352988821,4,4,21.857641288808956,1
45.36489023883006,93.6387249461936,1,3,23.306971001383758,0
